"","School","Year","Total Applicants","Tuition and Fees","Avg Faculty Salary"
"1118","Temple University",2022,38666,17378,109756
"1119","Clemson University",2022,52819,15558,101148
"1120","University of South Carolina-Columbia",2022,42188,12688,103780
"1121","Coastal Carolina University",2022,17161,11640,75352
"1122","University of Memphis",2022,15767,10056,83240
"1123","Middle Tennessee State University",2022,12868,9232,81140
"1124","The University of Tennessee-Knoxville",2022,36290,13244,108731
"1125","Vanderbilt University",2022,46377,56966,136648
"1126","Baylor University",2022,40753,50232,99296
"1127","University of Houston",2022,29783,9699,116756
"1128","University of North Texas",2022,32016,11090,95786
"1129","Rice University",2022,31443,52895,158388
"1130","Southern Methodist University",2022,16150,60236,124476
"1131","Texas State University",2022,28908,11135,76640
"1132","Texas A & M University-College Station",2022,43422,13239,119976
"1133","The University of Texas at Austin",2022,60055,11752,133806
"1134","The University of Texas at El Paso",2022,10493,9744,85253
"1135","Texas Christian University",2022,16197,51660,117273
"1136","The University of Texas at San Antonio",2022,23295,9231,88576
"1137","Texas Tech University",2022,35400,11852,99269
"1138","Brigham Young University",2022,10559,6120,114792
"1139","Utah State University",2022,16069,8960,91324
"1140","University of Utah",2022,21072,8893,107958
"1141","Liberty University",2022,30943,22713,70496
"1142","Old Dominion University",2022,14435,10800,86983
"1143","Virginia Polytechnic Institute and State University",2022,45321,13750,114302
"1144","University of Virginia-Main Campus",2022,50926,19244,145554
"1145","Washington State University",2022,19401,12417,96937
"1146","University of Washington-Seattle Campus",2022,52488,12076,125458
"1147","Marshall University",2022,6356,8552,74238
"1148","West Virginia University",2022,18206,8976,100710
"1149","University of Wisconsin-Madison",2022,60214,10720,128426
"1150","University of Wyoming",2022,5797,6277,92574
"1151","Stanford University",2022,56378,56169,202710
"1152","Purdue University-Main Campus",2022,68582,9992,121387
