"","School","Year","Total Applicants","Tuition and Fees","Avg Faculty Salary"
"177","University of Louisiana at Lafayette",2015,10897,6872,72945
"178","Tulane University of Louisiana",2015,26257,48305,98937
"179","University of Maryland-College Park",2015,28434,9427,111375
"180","United States Naval Academy",2015,16101,NA,95301
"181","Boston College",2015,29486,47436,127899
"182","University of Massachusetts-Amherst",2015,40130,13443,107289
"183","Central Michigan University",2015,18575,11550,76158
"184","Eastern Michigan University",2015,14236,9663,83043
"185","University of Michigan-Ann Arbor",2015,51797,13486,97974
"186","Michigan State University",2015,35300,13200,100476
"187","Western Michigan University",2015,15175,10685,83853
"188","University of Minnesota-Duluth",2015,7499,12802,71721
"189","University of Mississippi",2015,18059,7096,80964
"190","Mississippi State University",2015,12446,7140,75339
"191","University of Southern Mississippi",2015,6046,6980,68157
"192","University of Missouri-Columbia",2015,21988,9433,81090
"193","University of Nebraska-Lincoln",2015,9724,8070,93465
"194","University of Nevada-Las Vegas",2015,7603,6710,91728
"195","University of Nevada-Reno",2015,10454,6610,87867
"196","Rutgers University-New Brunswick",2015,35340,13813,101538
"197","University of New Mexico-Main Campus",2015,13189,6846,80262
"198","New Mexico State University-Main Campus",2015,7427,5950,75618
"199","University at Buffalo",2015,23629,8870,92763
"200","Syracuse University",2015,33254,41886,100818
"201","United States Military Academy",2015,14635,NA,83781
"202","Appalachian State University",2015,13083,6553,70173
"203","Duke University",2015,31220,47243,136260
"204","East Carolina University",2015,16871,6143,72072
"205","University of North Carolina at Chapel Hill",2015,31143,8336,106281
"206","North Carolina State University at Raleigh",2015,21364,8296,92169
"207","Wake Forest University",2015,13281,46200,102636
"208","University of Akron Main Campus",2015,15166,10260,80703
"209","Bowling Green State University-Main Campus",2015,14632,10726,75771
"210","University of Cincinnati-Main Campus",2015,17265,11000,85581
"211","Kent State University at Kent",2015,15772,10012,76356
"212","Miami University-Oxford",2015,27454,14287,79749
"213","Ohio State University-Main Campus",2015,40240,10037,105651
"214","Ohio University-Main Campus",2015,21000,10536,79110
"215","University of Toledo",2015,10678,9463,76869
"216","Oklahoma State University-Main Campus",2015,12501,7442,79092
"217","University of Oklahoma-Norman Campus",2015,12002,9495,86022
"218","University of Tulsa",2015,6762,35855,96417
"219","Oregon State University",2015,14058,9122,81702
"220","University of Oregon",2015,22000,9918,85824
"221","Pennsylvania State University-Main Campus",2015,53472,17502,94626
"222","Temple University",2015,28886,14696,92088
"223","Clemson University",2015,22396,13436,91485
"224","University of South Carolina-Columbia",2015,25740,11158,90000
"225","Coastal Carolina University",2015,17252,10180,61965
"226","University of Memphis",2015,16672,8619,76545
"227","Middle Tennessee State University",2015,8164,7876,64395
"228","The University of Tennessee-Knoxville",2015,17081,11876,94113
"229","Vanderbilt University",2015,31464,43838,120771
"230","Baylor University",2015,32136,38120,83376
"231","University of Houston",2015,17971,8605,97929
"232","University of North Texas",2015,16253,9346,93429
"233","Rice University",2015,17951,40566,134514
"234","Southern Methodist University",2015,12992,45940,107721
"235","Texas State University",2015,20711,8950,70695
"236","Texas A & M University-College Station",2015,33213,9685,97101
"237","The University of Texas at Austin",2015,42392,9830,103248
"238","The University of Texas at El Paso",2015,7134,7259,77652
"239","Texas Christian University",2015,18423,38600,89280
"240","The University of Texas at San Antonio",2015,15706,7457,84483
"241","Texas Tech University",2015,23010,7811,81522
"242","Brigham Young University",2015,13376,5000,92979
"243","Utah State University",2015,16158,6250,77868
"244","University of Utah",2015,12174,7835,89739
"245","Liberty University",2015,48936,18906,41346
"246","Old Dominion University",2015,9510,8970,80667
"247","Virginia Polytechnic Institute and State University",2015,22280,12017,97938
"248","University of Virginia-Main Campus",2015,30840,13208,119358
"249","Washington State University",2015,19766,12428,86301
"250","University of Washington-Seattle Campus",2015,36840,12394,106362
"251","Marshall University",2015,4911,6526,63108
"252","West Virginia University",2015,15353,6968,84501
"253","University of Wisconsin-Madison",2015,28007,10410,101385
"254","University of Wyoming",2015,4657,4646,86076
"255","Stanford University",2015,42497,44757,192186
"256","Purdue University-Main Campus",2015,45264,10002,103779
"257","University of Alabama at Birmingham",2016,9459,7766,93743
"258","The University of Alabama",2016,38237,10170,88850
"259","Auburn University",2016,18256,10424,89219
"260","University of South Alabama",2016,6180,7332,65565
"261","Troy University",2016,5952,7924,57781
"262","Arizona State University Campus Immersion",2016,24764,10158,99711
"263","University of Arizona",2016,36166,11403,97444
"264","University of Arkansas",2016,21539,8522,83630
"265","Arkansas State University",2016,5655,8050,62971
"266","California State University-Fresno",2016,18735,6311,79881
"267","University of California-Berkeley",2016,82561,13431,146987
"268","University of California-Los Angeles",2016,97112,12763,155059
